created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-07-13 18:47:05 UTC,380,47,57,62,59,39,75
2023-07-13 18:47:45 UTC,381,9,7,7,7,4,8
2023-07-13 18:48:12 UTC,382,9,4,3,7,1,5
2023-07-13 18:48:27 UTC,383,76,36,42,36,66,39
2023-07-13 18:48:59 UTC,384,59,33,66,46,47,48
2023-07-13 18:49:15 UTC,385,71,53,64,33,42,55
2023-07-13 18:49:31 UTC,386,63,61,44,25,35,66
2023-07-13 18:50:51 UTC,387,9,3,8,1,7,9
2023-07-13 18:51:06 UTC,388,7,9,8,9,1,2
2023-07-13 18:51:22 UTC,389,40,71,62,59,27,49
2023-07-13 18:52:03 UTC,390,120,452,366,491,489,492
2023-07-13 18:52:31 UTC,391,25,72,51,28,39,35
2023-07-13 18:53:23 UTC,392,26,52,60,75,50,39
2023-07-13 18:54:12 UTC,393,71,66,75,62,20,76
2023-07-13 18:54:30 UTC,394,79,30,58,61,31,46
2023-07-13 18:55:09 UTC,395,34,44,68,53,53,71
2023-07-13 18:55:31 UTC,396,44,59,61,69,26,64
2023-07-13 18:55:49 UTC,397,65,67,33,21,61,56
2023-07-13 18:56:17 UTC,398,64,66,29,39,39,66
2023-07-13 18:57:15 UTC,399,149,299,118,172,252,184
2023-07-13 18:57:30 UTC,400,23,63,21,26,79,37
2023-07-13 18:58:38 UTC,401,70,59,58,23,21,35
2023-07-13 18:59:30 UTC,402,70,46,21,52,43,52
2023-07-13 19:00:21 UTC,403,310,329,365,289,128,448
2023-07-13 19:00:37 UTC,404,50,66,75,69,36,64
2023-07-13 19:01:09 UTC,405,69,30,59,69,50,29
2023-07-13 19:01:36 UTC,406,73,40,33,45,79,43
2023-07-13 19:01:53 UTC,407,41,76,58,62,56,55
2023-07-13 19:02:10 UTC,408,43,54,65,56,67,71
2023-07-13 19:02:25 UTC,409,52,54,44,62,43,24
2023-07-13 19:03:55 UTC,410,28,72,30,31,58,66
2023-07-13 19:05:04 UTC,411,58,31,22,44,21,65
2023-07-13 19:05:22 UTC,412,1,2,5,3,2,4
2023-07-13 19:05:38 UTC,413,45,26,58,50,72,37
2023-07-13 19:06:06 UTC,414,59,45,38,32,53,52
2023-07-13 19:07:00 UTC,415,8,8,7,6,5,5
2023-07-13 19:07:28 UTC,416,67,21,24,39,64,49
2023-07-13 19:07:44 UTC,417,22,57,53,41,36,66
2023-07-13 19:08:00 UTC,418,243,328,447,106,186,96
2023-07-13 19:08:37 UTC,419,6,3,4,1,7,1
2023-07-13 19:08:53 UTC,420,48,41,63,41,31,35
2023-07-13 19:09:22 UTC,421,40,59,28,77,31,40
2023-07-14 02:08:17 UTC,422,57,69,50,34,67,23
2023-07-14 02:08:33 UTC,423,47,40,50,32,46,49
2023-07-14 02:08:49 UTC,424,3,1,4,8,6,9
2023-07-14 02:09:05 UTC,425,53,68,76,46,38,76
2023-07-14 02:09:24 UTC,426,25,64,52,24,21,46
2023-07-14 02:09:40 UTC,427,20,79,75,76,72,30
2023-07-14 02:09:57 UTC,428,33,37,23,53,28,71
2023-07-14 02:10:13 UTC,429,37,27,63,72,46,71
2023-07-14 02:28:41 UTC,430,70,79,29,62,45,47
2023-07-14 02:29:45 UTC,431,483,461,278,100,306,349
2023-07-14 02:30:08 UTC,432,141,160,459,157,101,481
2023-07-14 02:30:40 UTC,433,71,64,25,78,47,20
2023-07-14 02:31:03 UTC,434,46,70,52,42,37,51
2023-07-14 02:31:18 UTC,435,67,61,35,42,53,73
2023-07-14 02:32:05 UTC,436,40,27,40,68,70,27
2023-07-14 02:32:33 UTC,437,63,46,43,47,26,74
2023-07-13 18:23:26+00:00,438,30,53,53,77,33,69
2023-07-13 18:24:12+00:00,439,4,8,6,8,1,2
2023-07-13 18:24:39+00:00,440,66,50,48,60,41,20
2023-07-13 18:25:06+00:00,441,63,35,62,43,54,44
2023-07-13 18:26:17+00:00,442,24,77,37,29,22,52
2023-07-13 18:26:33+00:00,443,31,54,46,62,46,21
2023-07-13 18:26:54+00:00,444,193,151,428,448,196,130
2023-07-13 18:27:21+00:00,445,2,4,1,7,1,5
2023-07-13 18:28:03+00:00,446,63,31,49,67,63,72
2023-07-13 18:28:30+00:00,447,2,5,1,5,1,1
2023-07-13 18:28:46+00:00,448,38,33,56,59,56,38
2023-07-13 18:29:02+00:00,449,56,77,30,57,77,70
2023-07-13 18:29:19+00:00,450,78,62,27,43,48,20
2023-07-13 18:29:40+00:00,451,46,27,60,57,40,29
2023-07-13 18:30:08+00:00,452,55,25,41,75,47,28
2023-07-13 18:30:36+00:00,453,64,70,66,76,47,59
2023-07-13 18:31:19+00:00,454,50,33,69,25,24,22
2023-07-13 18:32:20+00:00,455,72,22,30,58,65,50
2023-07-13 18:32:52+00:00,456,33,65,43,72,60,53
2023-07-13 18:33:07+00:00,457,45,64,50,57,48,41
2023-07-13 18:33:24+00:00,458,334,402,296,249,291,495
2023-07-13 18:33:40+00:00,459,33,26,39,54,45,64
2023-07-13 18:34:48+00:00,460,63,42,63,54,68,37
2023-07-13 18:35:28+00:00,461,104,255,388,204,324,90
2023-07-13 18:36:08+00:00,462,62,63,22,41,60,66
2023-07-13 18:36:28+00:00,463,1,6,8,4,8,2
2023-07-13 18:37:03+00:00,464,180,159,370,144,356,300
2023-07-13 18:37:34+00:00,465,50,36,26,33,53,72
2023-07-13 18:37:55+00:00,466,393,269,270,284,112,122
2023-07-13 18:39:00+00:00,467,20,73,65,33,70,20
2023-07-13 18:39:25+00:00,468,76,60,52,52,26,51
2023-07-13 18:39:53+00:00,469,25,29,65,44,51,72
2023-07-13 18:41:29+00:00,470,49,77,38,52,53,73
2023-07-13 18:41:56+00:00,471,3,9,1,5,4,7
2023-07-13 18:43:41+00:00,472,358,215,351,167,335,409
2023-07-13 18:43:58+00:00,473,60,79,34,26,40,54
2023-07-13 18:44:14+00:00,474,46,34,37,68,45,49
2023-07-13 18:45:06+00:00,475,178,431,159,230,356,239
2023-07-13 18:45:34+00:00,476,34,34,26,56,27,37
2023-07-13 18:46:01+00:00,477,301,120,120,170,222,81
2023-07-13 18:46:20+00:00,478,48,23,73,48,46,27
2023-07-13 18:46:35+00:00,479,43,65,79,35,48,41
2023-07-13 18:47:15+00:00,480,20,32,29,44,41,33
2023-07-13 18:47:55+00:00,481,72,65,20,71,33,72
2023-07-13 18:48:22+00:00,482,76,47,42,40,36,27
2023-07-13 18:48:37+00:00,483,24,58,70,71,42,32
2023-07-13 18:49:09+00:00,484,23,60,68,34,43,55
2023-07-13 18:49:25+00:00,485,44,71,25,26,30,52
2023-07-13 18:49:41+00:00,486,46,21,24,26,74,72
2023-07-13 18:51:01+00:00,487,48,60,39,26,61,60
2023-07-13 18:51:16+00:00,488,45,44,32,47,31,74
2023-07-13 18:51:32+00:00,489,43,71,56,70,33,64
2023-07-13 18:52:13+00:00,490,33,22,60,35,74,37
2023-07-13 18:52:41+00:00,491,59,34,77,38,66,39
2023-07-13 18:53:33+00:00,492,65,37,32,57,47,53
2023-07-13 18:54:22+00:00,493,314,493,288,309,97,450
2023-07-13 18:54:40+00:00,494,32,26,54,44,61,41
2023-07-13 18:55:19+00:00,495,31,24,52,37,34,60
2023-07-13 18:55:41+00:00,496,23,63,75,70,50,42
2023-07-13 18:55:59+00:00,497,79,21,68,55,30,76
2023-07-13 18:56:27+00:00,498,65,59,62,51,27,37
2023-07-13 18:57:25+00:00,499,32,43,43,41,49,76
2023-07-13 18:57:40+00:00,500,22,30,42,26,59,28
2023-07-13 18:58:48+00:00,501,68,42,78,30,26,76
2023-07-13 18:59:40+00:00,502,20,51,77,62,21,52
2023-07-13 19:00:31+00:00,503,30,70,62,55,53,68
2023-07-13 19:00:47+00:00,504,54,49,20,76,63,43
2023-07-13 19:01:19+00:00,505,50,50,35,22,36,77
2023-07-13 19:01:46+00:00,506,62,65,60,27,74,53
2023-07-13 19:02:03+00:00,507,43,37,68,22,64,79
2023-07-13 19:02:20+00:00,508,48,20,61,35,24,37
2023-07-13 19:02:35+00:00,509,87,163,423,425,281,122
2023-07-13 19:04:05+00:00,510,58,65,69,64,20,58
2023-07-13 19:05:14+00:00,511,63,53,79,31,37,26
2023-07-13 19:05:32+00:00,512,34,28,40,47,62,54
2023-07-13 19:05:48+00:00,513,27,75,60,55,28,64
2023-07-13 19:06:16+00:00,514,28,58,29,67,59,68
2023-07-13 19:07:10+00:00,515,1,1,6,8,1,1
2023-07-13 19:07:38+00:00,516,67,51,55,76,58,30
2023-07-13 19:07:54+00:00,517,40,30,30,37,47,69
2023-07-13 19:08:10+00:00,518,58,46,78,41,69,65
2023-07-13 19:08:47+00:00,519,2,5,3,8,9,4
2023-07-13 19:09:03+00:00,520,26,41,63,56,76,21
2023-07-13 19:09:32+00:00,521,54,22,34,59,56,27
2023-07-14 02:08:27+00:00,522,46,52,44,22,28,58
2023-07-14 02:08:43+00:00,523,1,7,6,7,9,1
2023-07-14 02:08:59+00:00,524,2,4,1,4,7,9
2023-07-14 02:09:15+00:00,525,54,53,47,31,51,68
2023-07-14 02:09:34+00:00,526,33,51,39,78,70,30
2023-07-14 02:09:50+00:00,527,40,22,21,24,34,68
2023-07-14 02:10:07+00:00,528,77,78,78,23,63,65
2023-07-14 02:10:23+00:00,529,6,3,2,8,2,6
2023-07-14 02:28:51+00:00,530,76,66,78,35,56,33
2023-07-14 02:29:55+00:00,531,2,2,7,9,7,1
2023-07-14 02:30:18+00:00,532,63,53,65,70,31,40
2023-07-14 02:30:50+00:00,533,62,66,45,25,39,39
2023-07-14 02:31:13+00:00,534,52,70,24,69,72,73
2023-07-14 02:31:28+00:00,535,74,59,79,35,63,35
2023-07-14 02:32:15+00:00,536,1,1,8,6,1,7
2023-07-14 02:32:43+00:00,537,29,64,55,29,55,39
2023-07-13 18:23:36+00:00,538,4,6,6,3,5,2
2023-07-13 18:24:22+00:00,539,33,67,79,77,57,52
2023-07-13 18:24:49+00:00,540,4,2,5,3,4,3
2023-07-13 18:25:16+00:00,541,25,39,65,31,32,47
2023-07-13 18:26:27+00:00,542,1,1,4,6,7,9
2023-07-13 18:26:43+00:00,543,26,58,61,53,46,24
2023-07-13 18:27:04+00:00,544,59,38,30,33,49,43
2023-07-13 18:27:31+00:00,545,21,29,26,63,30,48
2023-07-13 18:28:13+00:00,546,71,76,31,70,35,53
2023-07-13 18:28:40+00:00,547,356,269,283,460,160,177
2023-07-13 18:28:56+00:00,548,79,26,21,30,37,50
2023-07-13 18:29:12+00:00,549,50,58,41,52,56,77
2023-07-13 18:29:29+00:00,550,75,79,61,23,79,59
2023-07-13 18:29:50+00:00,551,47,51,26,26,62,24
2023-07-13 18:30:18+00:00,552,48,41,71,75,28,76
2023-07-13 18:30:46+00:00,553,2,6,6,9,2,8
2023-07-13 18:31:29+00:00,554,22,60,52,73,21,78
2023-07-13 18:32:30+00:00,555,302,415,410,479,354,151
2023-07-13 18:33:02+00:00,556,54,67,55,30,31,40
2023-07-13 18:33:17+00:00,557,485,287,154,492,338,185
2023-07-13 18:33:34+00:00,558,362,469,323,491,183,285
2023-07-13 18:33:50+00:00,559,346,113,94,128,114,461
2023-07-13 18:34:58+00:00,560,22,26,69,66,56,34
2023-07-13 18:35:38+00:00,561,40,49,53,78,51,75
2023-07-13 18:36:18+00:00,562,43,24,73,64,30,51
2023-07-13 18:36:38+00:00,563,47,65,31,40,39,66
2023-07-13 18:37:13+00:00,564,7,2,7,6,9,8
2023-07-13 18:37:44+00:00,565,30,52,56,29,30,56
2023-07-13 18:38:05+00:00,566,60,23,57,28,33,68
2023-07-13 18:39:10+00:00,567,36,30,23,64,67,65
2023-07-13 18:39:35+00:00,568,31,72,62,58,21,45
2023-07-13 18:40:03+00:00,569,52,43,78,29,45,68
2023-07-13 18:41:39+00:00,570,70,20,22,46,51,76
2023-07-13 18:42:06+00:00,571,47,43,44,26,48,63
2023-07-13 18:43:51+00:00,572,45,30,26,64,64,54
2023-07-13 18:44:08+00:00,573,8,4,7,5,7,9
2023-07-13 18:44:24+00:00,574,46,52,25,27,50,79
2023-07-13 18:45:16+00:00,575,48,64,67,32,58,68
2023-07-13 18:45:44+00:00,576,78,73,79,61,78,20
2023-07-13 18:46:11+00:00,577,22,74,27,50,62,27
2023-07-13 18:46:30+00:00,578,8,2,4,8,3,3
2023-07-13 18:46:45+00:00,579,75,67,64,29,71,70
2023-07-13 18:47:25+00:00,580,32,41,29,42,23,25
2023-07-13 18:48:05+00:00,581,91,125,354,374,203,386
2023-07-13 18:48:32+00:00,582,36,52,79,46,67,48
2023-07-13 18:48:47+00:00,583,26,64,64,66,70,57
2023-07-13 18:49:19+00:00,584,72,45,46,78,60,44
2023-07-13 18:49:35+00:00,585,32,65,49,53,62,60
2023-07-13 18:49:51+00:00,586,66,25,37,74,51,49
2023-07-13 18:51:11+00:00,587,40,39,47,75,48,75
2023-07-13 18:51:26+00:00,588,53,40,36,75,52,43
2023-07-13 18:51:42+00:00,589,4,3,6,5,3,9
2023-07-13 18:52:23+00:00,590,2,6,7,7,3,9
2023-07-13 18:52:51+00:00,591,26,51,39,27,57,20
2023-07-13 18:53:43+00:00,592,48,54,74,22,53,77
2023-07-13 18:54:32+00:00,593,75,55,27,74,61,60
2023-07-13 18:54:50+00:00,594,52,60,52,28,30,43
2023-07-13 18:55:29+00:00,595,40,21,21,69,48,64
2023-07-13 18:55:51+00:00,596,45,44,46,54,69,79
2023-07-13 18:56:09+00:00,597,1,8,2,3,5,9
2023-07-13 18:56:37+00:00,598,42,25,70,69,44,41
2023-07-13 18:57:35+00:00,599,35,25,27,49,74,34
2023-07-13 18:57:50+00:00,600,40,62,63,28,73,47
2023-07-13 18:58:58+00:00,601,33,74,50,37,69,35
2023-07-13 18:59:50+00:00,602,45,44,29,78,69,40
2023-07-13 19:00:41+00:00,603,456,219,278,440,310,471
2023-07-13 19:00:57+00:00,604,38,39,48,23,39,34
2023-07-13 19:01:29+00:00,605,69,69,32,48,25,41
2023-07-13 19:01:56+00:00,606,30,71,29,68,36,31
2023-07-13 19:02:13+00:00,607,71,57,25,63,44,26
2023-07-13 19:02:30+00:00,608,75,64,66,46,59,31
2023-07-13 19:02:45+00:00,609,64,20,62,42,42,28
2023-07-13 19:04:15+00:00,610,29,43,59,79,69,34
2023-07-13 19:05:24+00:00,611,53,61,64,73,45,77
2023-07-13 19:05:42+00:00,612,77,35,72,61,70,24
2023-07-13 19:05:58+00:00,613,73,41,52,41,53,36
2023-07-13 19:06:26+00:00,614,71,51,63,45,50,31
2023-07-13 19:07:20+00:00,615,48,43,37,46,25,39
2023-07-13 19:07:48+00:00,616,68,21,78,31,26,42
2023-07-13 19:08:04+00:00,617,365,99,409,225,121,326
2023-07-13 19:08:20+00:00,618,51,60,27,22,32,70
2023-07-13 19:08:57+00:00,619,57,27,54,33,50,29
2023-07-13 19:09:13+00:00,620,66,60,25,36,34,43
2023-07-13 19:09:42+00:00,621,28,77,76,26,65,31
2023-07-14 02:08:37+00:00,622,63,23,62,76,39,29
2023-07-14 02:08:53+00:00,623,33,21,21,51,25,32
2023-07-14 02:09:09+00:00,624,37,61,53,76,35,39
2023-07-14 02:09:25+00:00,625,76,72,69,55,28,35
2023-07-14 02:09:44+00:00,626,9,7,5,9,5,6
2023-07-14 02:10:00+00:00,627,52,51,49,31,27,48
2023-07-14 02:10:17+00:00,628,45,25,58,44,71,72
2023-07-14 02:10:33+00:00,629,30,47,32,35,32,27
2023-07-14 02:29:01+00:00,630,51,62,33,20,70,36
2023-07-14 02:30:05+00:00,631,21,38,58,40,21,26
2023-07-14 02:30:28+00:00,632,48,36,50,64,61,39
2023-07-14 02:31:00+00:00,633,49,78,63,43,25,52
2023-07-14 02:31:23+00:00,634,364,80,400,218,244,292
2023-07-14 02:31:38+00:00,635,74,36,54,41,37,25
2023-07-14 02:32:25+00:00,636,20,39,47,69,56,31
2023-07-14 02:32:53+00:00,637,62,30,53,27,59,40
2023-07-13 18:23:46+00:00,638,74,50,48,40,28,20
2023-07-13 18:24:32+00:00,639,58,22,65,50,72,57
2023-07-13 18:24:59+00:00,640,51,32,35,49,44,22
2023-07-13 18:25:26+00:00,641,41,72,20,36,51,60
2023-07-13 18:26:37+00:00,642,22,65,30,73,20,24
2023-07-13 18:26:53+00:00,643,28,30,49,34,79,54
2023-07-13 18:27:14+00:00,644,490,486,183,403,467,267
2023-07-13 18:27:41+00:00,645,63,48,50,22,56,65
2023-07-13 18:28:23+00:00,646,39,70,77,51,27,35
2023-07-13 18:28:50+00:00,647,20,33,33,56,41,68
2023-07-13 18:29:06+00:00,648,22,30,30,61,58,36
2023-07-13 18:29:22+00:00,649,50,24,64,27,24,75
2023-07-13 18:29:39+00:00,650,3,9,3,1,9,3
2023-07-13 18:30:00+00:00,651,42,60,66,77,36,33
2023-07-13 18:30:28+00:00,652,69,69,77,48,52,54
2023-07-13 18:30:56+00:00,653,61,56,74,50,77,53
2023-07-13 18:31:39+00:00,654,46,75,62,21,68,34
2023-07-13 18:32:40+00:00,655,6,4,5,4,4,5
2023-07-13 18:33:12+00:00,656,77,74,47,42,69,69
2023-07-13 18:33:27+00:00,657,26,79,57,77,69,70
2023-07-13 18:33:44+00:00,658,73,51,31,59,41,71
2023-07-13 18:34:00+00:00,659,66,68,26,31,61,42
2023-07-13 18:35:08+00:00,660,375,485,168,428,404,230
2023-07-13 18:35:48+00:00,661,193,390,173,100,344,487
2023-07-13 18:36:28+00:00,662,45,50,45,73,20,73
2023-07-13 18:36:48+00:00,663,55,36,42,30,38,36
2023-07-13 18:37:23+00:00,664,38,24,46,41,51,29
2023-07-13 18:37:54+00:00,665,71,47,34,36,34,76
2023-07-13 18:38:15+00:00,666,30,44,58,67,36,45
2023-07-13 18:39:20+00:00,667,41,56,23,29,32,79
2023-07-13 18:39:45+00:00,668,309,430,356,285,446,484
2023-07-13 18:40:13+00:00,669,38,65,77,21,33,39
2023-07-13 18:41:49+00:00,670,6,8,8,9,4,8
2023-07-13 18:42:16+00:00,671,68,35,69,66,62,25
2023-07-13 18:44:01+00:00,672,68,32,55,34,31,76
2023-07-13 18:44:18+00:00,673,62,67,52,62,79,23
2023-07-13 18:44:34+00:00,674,28,40,23,74,20,51
2023-07-13 18:45:26+00:00,675,74,75,58,52,20,54
2023-07-13 18:45:54+00:00,676,6,2,2,3,4,1
2023-07-13 18:46:21+00:00,677,9,5,2,8,9,1
2023-07-13 18:46:40+00:00,678,55,52,64,42,64,69
2023-07-13 18:46:55+00:00,679,46,48,44,27,44,45
2023-07-13 18:47:35+00:00,680,50,64,59,70,59,78
2023-07-13 18:48:15+00:00,681,28,68,73,32,24,20
2023-07-13 18:48:42+00:00,682,28,67,48,50,53,34
2023-07-13 18:48:57+00:00,683,32,48,38,63,22,42
2023-07-13 18:49:29+00:00,684,22,51,76,60,49,69
2023-07-13 18:49:45+00:00,685,34,56,43,57,53,51
2023-07-13 18:50:01+00:00,686,5,4,7,3,2,7
2023-07-13 18:51:21+00:00,687,31,30,74,30,35,30
2023-07-13 18:51:36+00:00,688,9,8,7,5,5,2
2023-07-13 18:51:52+00:00,689,66,20,20,41,39,64
2023-07-13 18:52:33+00:00,690,41,37,30,77,49,40
2023-07-13 18:53:01+00:00,691,68,26,20,27,69,21
2023-07-13 18:53:53+00:00,692,22,31,68,57,31,43
2023-07-13 18:54:42+00:00,693,73,55,65,32,25,69
2023-07-13 18:55:00+00:00,694,71,57,74,53,24,41
2023-07-13 18:55:39+00:00,695,30,22,37,71,59,72
2023-07-13 18:56:01+00:00,696,39,70,35,23,54,53
2023-07-13 18:56:19+00:00,697,64,66,42,79,65,71
2023-07-13 18:56:47+00:00,698,35,38,46,72,53,26
2023-07-13 18:57:45+00:00,699,24,42,37,56,65,76
2023-07-13 18:58:00+00:00,700,76,43,40,69,67,66
2023-07-13 18:59:08+00:00,701,55,47,23,60,40,45
2023-07-13 19:00:00+00:00,702,24,61,47,65,66,55
2023-07-13 19:00:51+00:00,703,325,100,373,220,110,162
2023-07-13 19:01:07+00:00,704,243,293,193,131,130,167
2023-07-13 19:01:39+00:00,705,68,32,24,23,59,67
2023-07-13 19:02:06+00:00,706,47,58,55,64,72,47
2023-07-13 19:02:23+00:00,707,33,35,64,65,55,36
2023-07-13 19:02:40+00:00,708,60,76,69,27,54,65
2023-07-13 19:02:55+00:00,709,29,34,39,26,53,68
2023-07-13 19:04:25+00:00,710,64,61,78,42,72,58
2023-07-13 19:05:34+00:00,711,40,58,58,76,46,43
2023-07-13 19:05:52+00:00,712,175,356,359,168,226,246
2023-07-13 19:06:08+00:00,713,69,25,77,40,42,29
2023-07-13 19:06:36+00:00,714,74,71,54,35,69,46
2023-07-13 19:07:30+00:00,715,43,50,41,38,26,54
2023-07-13 19:07:58+00:00,716,49,57,62,35,21,60
2023-07-13 19:08:14+00:00,717,49,76,70,42,22,69
2023-07-13 19:08:30+00:00,718,79,35,21,21,35,69
2023-07-13 19:09:07+00:00,719,52,76,72,43,37,24
2023-07-13 19:09:23+00:00,720,40,32,76,54,70,52
2023-07-13 19:09:52+00:00,721,417,266,295,91,122,323
2023-07-14 02:08:47+00:00,722,34,74,61,24,22,67
2023-07-14 02:09:03+00:00,723,47,25,50,45,67,67
2023-07-14 02:09:19+00:00,724,30,28,21,59,44,28
2023-07-14 02:09:35+00:00,725,66,66,38,58,56,66
2023-07-14 02:09:54+00:00,726,54,61,44,27,60,24
2023-07-14 02:10:10+00:00,727,36,55,33,33,36,41
2023-07-14 02:10:27+00:00,728,72,37,44,27,38,41
2023-07-14 02:10:43+00:00,729,30,28,42,51,52,57
2023-07-14 02:29:11+00:00,730,55,37,27,77,57,23
2023-07-14 02:30:15+00:00,731,77,76,44,22,34,30
2023-07-14 02:30:38+00:00,732,78,57,48,77,66,55
2023-07-14 02:31:10+00:00,733,1,6,4,4,6,8
2023-07-14 02:31:33+00:00,734,70,31,72,67,27,67
2023-07-14 02:31:48+00:00,735,2,2,1,8,3,1
2023-07-14 02:32:35+00:00,736,35,73,49,76,34,28
2023-07-14 02:33:03+00:00,737,23,72,30,38,71,39
2023-07-13 18:23:56+00:00,738,79,74,39,69,40,50
2023-07-13 18:24:42+00:00,739,6,8,8,4,4,5
2023-07-13 18:25:09+00:00,740,73,73,29,30,60,44
2023-07-13 18:25:36+00:00,741,54,56,58,23,78,66
2023-07-13 18:26:47+00:00,742,63,72,26,43,63,34
2023-07-13 18:27:03+00:00,743,78,23,69,50,52,40
2023-07-13 18:27:24+00:00,744,66,41,52,44,39,71
2023-07-13 18:27:51+00:00,745,58,74,40,58,38,57
2023-07-13 18:28:33+00:00,746,20,60,51,39,63,66
2023-07-13 18:29:00+00:00,747,76,52,51,38,73,42
2023-07-13 18:29:16+00:00,748,67,74,60,74,50,36
2023-07-13 18:29:32+00:00,749,78,43,67,27,30,40
2023-07-13 18:29:49+00:00,750,263,161,373,407,341,409
2023-07-13 18:30:10+00:00,751,21,21,68,36,21,44
2023-07-13 18:30:38+00:00,752,45,66,48,72,73,40
2023-07-13 18:31:06+00:00,753,67,60,78,38,31,52
2023-07-13 18:31:49+00:00,754,40,52,54,37,75,68
2023-07-13 18:32:50+00:00,755,44,62,74,32,73,28
2023-07-13 18:33:22+00:00,756,55,75,23,75,78,32
2023-07-13 18:33:37+00:00,757,73,66,37,21,38,77
2023-07-13 18:33:54+00:00,758,76,44,57,61,75,38
2023-07-13 18:34:10+00:00,759,8,1,2,8,9,7
2023-07-13 18:35:18+00:00,760,36,47,47,61,61,52
2023-07-13 18:35:58+00:00,761,20,24,42,73,40,54
2023-07-13 18:36:38+00:00,762,54,65,22,64,25,23
2023-07-13 18:36:58+00:00,763,45,55,20,41,22,25
2023-07-13 18:37:33+00:00,764,9,9,2,1,8,7
2023-07-13 18:38:04+00:00,765,5,3,7,5,7,4
2023-07-13 18:38:25+00:00,766,79,63,54,63,46,29
2023-07-13 18:39:30+00:00,767,55,21,49,29,56,37
2023-07-13 18:39:55+00:00,768,67,66,44,29,31,53
2023-07-13 18:40:23+00:00,769,52,71,20,79,71,36
2023-07-13 18:41:59+00:00,770,49,36,36,73,36,49
2023-07-13 18:42:26+00:00,771,5,9,4,6,7,6
2023-07-13 18:44:11+00:00,772,33,72,64,54,36,31
2023-07-13 18:44:28+00:00,773,52,76,38,54,73,60
2023-07-13 18:44:44+00:00,774,64,42,59,63,24,42
2023-07-13 18:45:36+00:00,775,8,4,2,4,4,6
2023-07-13 18:46:04+00:00,776,78,37,72,28,20,68
2023-07-13 18:46:31+00:00,777,42,22,20,62,26,51
2023-07-13 18:46:50+00:00,778,6,1,4,5,5,9
2023-07-13 18:47:05+00:00,779,49,36,64,24,54,42
2023-07-13 18:47:45+00:00,780,4,2,8,9,3,2
2023-07-13 18:48:25+00:00,781,31,28,22,24,20,59
2023-07-13 18:48:52+00:00,782,4,1,7,7,1,1
2023-07-13 18:49:07+00:00,783,45,57,47,63,66,79
2023-07-13 18:49:39+00:00,784,69,78,29,21,65,63
2023-07-13 18:49:55+00:00,785,4,1,2,5,7,9
2023-07-13 18:50:11+00:00,786,202,433,252,491,190,475
